Year,Area,Item,Value
2016,Brunei Darussalam,"Other nitrogenous fertilizers, n.e.c.",13.0
2008,Brunei Darussalam,"Other phosphatic fertilizers, n.e.c.",0.12
2002,Brunei Darussalam,PK compounds,0.2
2004,Brunei Darussalam,PK compounds,2.93
2011,Brunei Darussalam,PK compounds,31.42
2003,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),20.81
2008,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),81.8
2011,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.05
2012,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.01
2014,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.44
2015,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),167.94
2016,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),11.33
2017,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),82.71
2007,Brunei Darussalam,Potassium nitrate,0.07
2011,Brunei Darussalam,Potassium nitrate,0.01
2015,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.04
2014,Brunei Darussalam,Sodium nitrate,1.0
2010,Brunei Darussalam,Urea,109.89
2008,Cambodia,Diammonium phosphate (DAP),3.73
2009,Cambodia,Diammonium phosphate (DAP),22.38
2007,Cambodia,Fertilizers n.e.c.,17.02
2008,Cambodia,Fertilizers n.e.c.,6.77
2009,Cambodia,Fertilizers n.e.c.,39.35
2010,Cambodia,Fertilizers n.e.c.,155.05
2011,Cambodia,Fertilizers n.e.c.,115.46
2012,Cambodia,Fertilizers n.e.c.,12.26
2013,Cambodia,Fertilizers n.e.c.,20.87
2015,Cambodia,Fertilizers n.e.c.,0.09
2016,Cambodia,Fertilizers n.e.c.,69.13
2006,Cambodia,Monoammonium phosphate (MAP),0.61
2011,Cambodia,"Other nitrogenous fertilizers, n.e.c.",0.11
2002,Cambodia,Other NP compounds,4.46
2003,Cambodia,Other NP compounds,4.09
2007,Cambodia,Other NP compounds,3.38
2008,Cambodia,Other NP compounds,55.06
2009,Cambodia,Other NP compounds,37.61
2005,Cambodia,"Other phosphatic fertilizers, n.e.c.",208.56
2010,Cambodia,Phosphate rock,5.17
2005,"China, Hong Kong SAR","Ammonia, anhydrous",7.35
2006,"China, Hong Kong SAR","Ammonia, anhydrous",21.79
2007,"China, Hong Kong SAR","Ammonia, anhydrous",12.69
2008,"China, Hong Kong SAR","Ammonia, anhydrous",133.32
2009,"China, Hong Kong SAR","Ammonia, anhydrous",95.39
2010,"China, Hong Kong SAR","Ammonia, anhydrous",1018.89
2011,"China, Hong Kong SAR","Ammonia, anhydrous",751.4
2012,"China, Hong Kong SAR","Ammonia, anhydrous",514.85
2013,"China, Hong Kong SAR","Ammonia, anhydrous",913.77
2014,"China, Hong Kong SAR","Ammonia, anhydrous",609.74
2015,"China, Hong Kong SAR","Ammonia, anhydrous",312.2
2016,"China, Hong Kong SAR","Ammonia, anhydrous",281.47
2017,"China, Hong Kong SAR","Ammonia, anhydrous",185.66
2002,"China, Hong Kong SAR",Ammonium nitrate (AN),523.18
2003,"China, Hong Kong SAR",Ammonium nitrate (AN),1024.57
2004,"China, Hong Kong SAR",Ammonium nitrate (AN),936.35
2005,"China, Hong Kong SAR",Ammonium nitrate (AN),500.18
2008,"China, Hong Kong SAR",Ammonium nitrate (AN),29.12
2011,"China, Hong Kong SAR",Ammonium nitrate (AN),97.57
2012,"China, Hong Kong SAR",Ammonium nitrate (AN),29.54
2013,"China, Hong Kong SAR",Ammonium nitrate (AN),12.56
2014,"China, Hong Kong SAR",Ammonium nitrate (AN),1.17
2015,"China, Hong Kong SAR",Ammonium nitrate (AN),19.55
2002,"China, Hong Kong SAR",Ammonium sulphate,2.86
