Year,Area,Item,Value
2008,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,138500.0
2009,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,102700.0
2010,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,98700.0
2011,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,115000.0
2012,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,106900.0
2013,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,44400.0
2014,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2015,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2016,India,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.0
2002,India,Diammonium phosphate (DAP),5235600.0
2003,India,Diammonium phosphate (DAP),4708700.0
2004,India,Diammonium phosphate (DAP),5172300.0
2005,India,Diammonium phosphate (DAP),4554300.0
2006,India,Diammonium phosphate (DAP),4713100.0
2007,India,Diammonium phosphate (DAP),4211000.0
2008,India,Diammonium phosphate (DAP),2992500.0
2009,India,Diammonium phosphate (DAP),4246100.0
2010,India,Diammonium phosphate (DAP),3541200.0
2011,India,Diammonium phosphate (DAP),3951300.0
2012,India,Diammonium phosphate (DAP),3646800.0
2013,India,Diammonium phosphate (DAP),3628200.0
2014,India,Diammonium phosphate (DAP),3445400.0
2015,India,Diammonium phosphate (DAP),3821800.0
2016,India,Diammonium phosphate (DAP),4333400.0
2017,India,Diammonium phosphate (DAP),4654000.0
2006,India,NPK fertilizers,482800.0
2007,India,NPK fertilizers,468200.0
2008,India,NPK fertilizers,471000.0
2009,India,NPK fertilizers,490000.0
2010,India,NPK fertilizers,494000.0
2011,India,NPK fertilizers,506000.0
2012,India,NPK fertilizers,480300.0
2013,India,NPK fertilizers,3104500.0
2014,India,NPK fertilizers,3754100.0
2015,India,NPK fertilizers,3744700.0
2016,India,NPK fertilizers,3655000.0
2017,India,NPK fertilizers,3846100.0
2013,India,Other NP compounds,3465800.0
2014,India,Other NP compounds,3578000.0
2015,India,Other NP compounds,4238100.0
2016,India,Other NP compounds,4039400.0
2017,India,Other NP compounds,4147000.0
2002,India,Phosphate rock,60100.0
2003,India,Phosphate rock,26000.0
2004,India,Phosphate rock,37600.0
2005,India,Phosphate rock,59000.0
2006,India,Phosphate rock,45000.0
2007,India,Phosphate rock,83000.0
