Year,Area,Item,Value
2014,Brunei Darussalam,Other NK compounds,0.0
2015,Brunei Darussalam,Other NK compounds,0.0
2014,Brunei Darussalam,Other NP compounds,1.0
2015,Brunei Darussalam,Other NP compounds,0.0
2012,Brunei Darussalam,Phosphate rock,7.0
2013,Brunei Darussalam,Phosphate rock,19.0
2014,Brunei Darussalam,Phosphate rock,7.0
2015,Brunei Darussalam,Phosphate rock,107.0
2014,Brunei Darussalam,PK compounds,0.0
2015,Brunei Darussalam,PK compounds,0.0
2004,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),7.0
2005,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),75.0
2007,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),31.0
2008,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),34.15
2009,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),3.0
2010,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),131.5
2011,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),211.0
2015,Brunei Darussalam,Potassium chloride (muriate of potash) (MOP),0.0
2004,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),3.0
2005,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),1.0
2008,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),13.95
2009,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),1.0
2010,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.5
2011,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),10.02
2012,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),4.0
2015,Brunei Darussalam,Potassium sulphate (sulphate of potash) (SOP),0.0
2004,Brunei Darussalam,Superphosphates above 35%,5.0
2005,Brunei Darussalam,Superphosphates above 35%,4.0
2006,Brunei Darussalam,Superphosphates above 35%,106.0
2007,Brunei Darussalam,Superphosphates above 35%,14.0
2010,Brunei Darussalam,Superphosphates above 35%,130.0
2011,Brunei Darussalam,Superphosphates above 35%,162.1
2004,Brunei Darussalam,Urea,9.0
2005,Brunei Darussalam,Urea,355.0
2006,Brunei Darussalam,Urea,178.0
2007,Brunei Darussalam,Urea,240.0
2008,Brunei Darussalam,Urea,73.0
2009,Brunei Darussalam,Urea,116.0
2010,Brunei Darussalam,Urea,244.0
2011,Brunei Darussalam,Urea,571.0
2012,Brunei Darussalam,Urea,468.0
2013,Brunei Darussalam,Urea,39.0
2014,Brunei Darussalam,Urea,23.0
2015,Brunei Darussalam,Urea,32.0
2005,Cambodia,Ammonium nitrate (AN),925.0
2006,Cambodia,Ammonium nitrate (AN),628.0
2010,Cambodia,Ammonium nitrate (AN),84.0
2011,Cambodia,Ammonium nitrate (AN),50.0
2009,Cambodia,Ammonium sulphate,998.0
2010,Cambodia,Ammonium sulphate,70.0
2011,Cambodia,Ammonium sulphate,140.0
2002,Cambodia,Diammonium phosphate (DAP),15072.0
2003,Cambodia,Diammonium phosphate (DAP),7960.0
2004,Cambodia,Diammonium phosphate (DAP),10832.0
2005,Cambodia,Diammonium phosphate (DAP),25084.0
2006,Cambodia,Diammonium phosphate (DAP),34747.0
2007,Cambodia,Diammonium phosphate (DAP),21342.0
2009,Cambodia,Diammonium phosphate (DAP),27322.0
2010,Cambodia,Diammonium phosphate (DAP),33452.0
2011,Cambodia,Diammonium phosphate (DAP),26208.0
2005,Cambodia,Monoammonium phosphate (MAP),2000.0
2006,Cambodia,Monoammonium phosphate (MAP),26.0
2007,Cambodia,Monoammonium phosphate (MAP),25595.0
2002,Cambodia,NPK fertilizers,6389.0
2003,Cambodia,NPK fertilizers,5996.0
2004,Cambodia,NPK fertilizers,4766.0
2005,Cambodia,NPK fertilizers,33624.0
2006,Cambodia,NPK fertilizers,24955.0
2007,Cambodia,NPK fertilizers,5455.0
2009,Cambodia,NPK fertilizers,6562.0
2010,Cambodia,NPK fertilizers,6839.0
2011,Cambodia,NPK fertilizers,11283.0
2002,Cambodia,Other NP compounds,19974.0
2003,Cambodia,Other NP compounds,14584.0
2004,Cambodia,Other NP compounds,23899.0
2005,Cambodia,Other NP compounds,35904.0
2006,Cambodia,Other NP compounds,31156.0
2009,Cambodia,Other NP compounds,22627.0
2010,Cambodia,Other NP compounds,30202.0
2011,Cambodia,Other NP compounds,40743.0
2005,Cambodia,PK compounds,256.0
2006,Cambodia,PK compounds,252.0
2009,Cambodia,PK compounds,11.0
2010,Cambodia,PK compounds,8.0
